"Spectrum","Time","AIC"
279,447.89820768,486032.9833380466
280,447.99820128,483177.285281612
281,448.09819488,480349.9057390569
282,448.19818848,477550.4353721585
283,448.29818208,474778.4724838669
284,448.39817568,472033.623032147
285,448.49816928,469315.5007842302
286,448.59816288,466623.7263102625
287,448.69815648,463957.9266143592
288,448.79815008,461317.7363836173
289,448.89814368,458702.7967409362
290,448.99813728,456112.7555769453
291,449.09813088,453547.2668241722
292,449.19812448,451005.9910518145
293,449.29811808,448488.5955592031
294,449.39811168,445994.7535928819
295,449.49810528,443524.1434938794
296,449.59809888,441076.4491273764
297,449.69809248,438651.3607937621
298,449.79808608,436248.5742514373
299,449.89807968,433867.7905833261
300,449.99807328,431508.7161634764
301,450.09806688,429171.0625623899
302,450.19806048,426854.5465469897
303,450.29805408,424558.8898142235
304,450.39804768,422283.8179775092
305,450.49804128,420029.0620791363
306,450.59803488,417794.3579943219
307,450.69802848,415579.4464973511
308,450.79802208,413384.0716962652
309,450.89801568,411207.9829575049
310,450.99800928,409050.9337600246
311,451.09800288,406912.6816411766
312,451.19799648,404792.987855733
313,451.29799008,402691.6181976579
314,451.39798368,400608.342120023
315,451.49797728,398542.9333940877
316,451.59797088,396495.1688888484
317,451.69796448,394464.8292271126
318,451.79795808,392451.6983193301
319,451.89795168,390455.5651043605
320,451.99794528,388476.2208412485
321,452.09793888,386596.9677946999
322,452.19793248,384883.7638094643
323,452.29792608,383429.0680359639
324,452.39791968,382352.9470979841
325,452.49791328,381802.298890969
326,452.59790688,381948.5261315171
327,452.69790048,382984.0828019652
328,452.79789408,385118.3134895843
329,452.89788768,388572.9525323277
330,452.99788128,393577.5806113323
331,453.09787488,400352.2390804399
332,453.19786848,408962.4741609744
333,453.29786208,419504.3339970518
334,453.39785568,432013.5133207105
335,453.49784928,446460.4546277978
336,453.59784288,462749.6840432731
337,453.69783648,480722.6883137149
338,453.79783008,500163.4479098823
339,453.89782368,520800.6307609979
340,453.99781728,542326.1530988939
341,454.09781088,564398.6817082301
342,454.19780448,586678.1827105059
343,454.29779808,608865.2395688077
344,454.39779168,630633.6470023178
345,454.49778528,651680.5934130811
346,454.59777888,671732.925581099
347,454.69777248,690549.2454591261
348,454.79776608,707918.3841195406
349,454.89775968,723665.6179000748
350,454.99775328,737664.0705293183
351,455.09774688,749813.2554394598
352,455.19774048,760047.4031943426
353,455.29773408,768319.9473096281
354,455.39772768,774626.9411585119
355,455.49772128,778991.3587754391
356,455.59771488,781460.8338181901
357,455.69770848,782106.2051551499
358,455.79770208,781023.1285857988
359,455.89769568,778336.4195859048
360,455.99768928,774185.3762231208
361,456.09768288,768711.5055317298
362,456.19767648,762064.1686930406
363,456.29767008,754391.9424668341
364,456.39766368,745900.9072552007
365,456.49765728,736745.715270924
366,456.59765088,727076.3768847559
367,456.69764448,717036.9933370036
368,456.79763808,706764.4717329937
369,456.89763168,696386.0546897049
370,456.99762528,686015.8000027103
371,457.09761888,675760.8354141791
372,457.19761248,665724.0823991449
373,457.29760608,656005.8854438703
374,457.39759968,646705.2214584964
375,457.49759328,637798.529648297
376,457.59758688,629353.816478989
377,457.69758048,621433.8898984202
378,457.79757408,614095.983895601
379,457.89756768,607391.219502632
380,457.99756128,601363.9366098739
381,458.09755488,596050.9196398077
382,458.19754848,591480.5579841835
383,458.29754208,587671.9694753521
384,458.39753568,584634.1318811328
385,458.49752928,582365.0493250325
386,458.59752288,580912.0540459525
387,458.69751648,580264.4749159806
388,458.79751008,580401.7941627296
389,458.89750368,581293.6950330222
390,458.99749728,580676.6700102026
391,459.09749088,578510.6790754264
392,459.19748448,574747.1477103698
393,459.29747808,569329.7955141297
