Name,R.T. (min),Similarity,Formula,Area,Peak S/N,Base Mass
"Furan, 2-ethyl-5-methyl-",12.1087,626,C7H10O,413069,109,95.08
trans-3(10)-Caren-2-ol,12.1494,755,C10H16O,1372567,249,71.09
Peak 111,12.1681,,,214718,24,82.07
Peak 112,12.1962,,,446043,137,97.09
"Octane, 3,4,5,6-tetramethyl-",12.2671,750,C12H26,146431,12,57.11
"2,4-Decadienal",12.2857,878,C10H16O,1201821,225,81.07
Peak 115,12.3483,,,76298,26,99.10
"Bicyclo[2.2.1]heptan-2-ol, 6-tert-butyl-",12.3596,614,C11H20O,505029,141,55.09
"2-Methyl-5-(propan-2-ylidene)cyclohexane-1,4-diol",12.3686,815,C10H18O2,1699585,393,74.07
Butyl benzoate,12.4425,914,C11H14O2,457340,89,105.06
Hex-1-enylbenzene,12.4873,788,C12H16,296296,59,117.10
"Ethanone, 1-(6-methyl-7-oxabicyclo[4.1.0]hept-1-yl)-",12.4967,607,C9H14O2,417056,138,97.09
"2-Furancarboxylic acid, 2-tetrahydrofurylmethyl ester",12.5487,633,C10H12O4,335764,40,71.09
"1,2-Cyclohexanediol, 4-methyl-1-(1-methylethyl)-, (1a,2a,4a)-",12.5489,644,C10H20O2,247274,74,99.11
"1,3-Diacetin",12.5621,814,C7H12O5,177836,46,103.07
"2-Butenal, 2-methyl-",12.6507,642,C5H8O,268135,33,84.05
Peak 125,12.732,,,372176,55,84.09
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",12.7489,705,C16H30O4,1359012,233,71.09
Peak 127,12.7701,,,106474,23,107.09
Dasycarpidol,12.7897,602,C17H22N2O,17321,15,105.09
Peak 129,12.803,,,51701,12,44.02
"1,2-Cyclohexanediol, 1-methyl-4-(1-methylethyl)-",12.8601,817,C10H20O2,764792,137,71.09
"2,3,4-Trifluorobenzoic acid, 4-nitrophenyl ester",12.874,752,C13H6F3NO4,109143,53,159.16
"Hydroxylamine, O-decyl-",12.8959,674,C10H23NO,461758,36,57.09
Peak 133,12.9116,,,867519,215,85.06
"Phenylglyoxylic acid, neopentyl ester",12.9675,825,C13H16O3,230188,26,105.07
"3-Phenyl-1-propanol, acetate",12.9991,717,C11H14O2,104328,27,117.11
Peak 136,13.0038,,,154972,12,73.08
"Propanoic acid, 2-methyl-, 3-hydroxy-2,2,4-trimethylpentyl ester",13.0469,880,C12H24O3,1511811,223,71.09
Peak 138,13.0559,,,144288,11,55.07
Peak 139,13.1446,,,83299,19,105.10
Peak 140,13.1937,,,148971,28,84.09
1-Tetradecene,13.2377,853,C14H28,198212,27,55.10
