Name,R.T. (min),Similarity,Formula,Area,Peak S/N,Base Mass,Area_percent,SMILES,PubChem_CID,Mol,Antioxidant,Antimicrobial,Cytotoxic,FP,Cluster,is_antioxidant,is_antimicrobial,is_cytotoxic
13-Tetradece-11-yn-1-ol,17.9777,767.0,C14H24O,344295,45,67.09,0.039455292467748655,C=CC#CCCCCCCCCCCO,543337.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a86810>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a95930>,135,True,False,False
"Salicylic acid, tert.-butyl ester",18.2148,719.0,C11H14O3,40092,11,120.04,0.004594436705781318,CC(C)(C)OC(=O)C1=CC=CC=C1O,11424104.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a86a40>,True,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a95b60>,138,True,False,False
"2-Cyclohexen-1-one, 4-hydroxy-3,5,6-trimethyl-4-(3-oxo-1-butenyl)-",18.2489,790.0,C13H18O3,718636,277,124.09,0.08235377672592696,CC1C(C(C(=CC1=O)C)(C=CC(=O)C)O)C,5371378.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a86b20>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a95c40>,140,True,True,False
"Benzene, 1,1'-[1,2-ethanediylbis(oxy)]bis-",18.2863,737.0,C14H14O2,400570,47,77.07,0.045904257987499315,C1=CC=C(C=C1)OCCOC2=CC=CC=C2,7713.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a86c00>,True,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a95d20>,17,False,False,False
Hexanoic acid,18.7297,621.0,C6H12O2,305353,44,60.06,0.03499264270728432,CCCCCC(=O)O,8892.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a86e30>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a95f50>,0,True,False,False
"3,7,11,15-Tetramethyl-2-hexadecen-1-ol",18.8425,832.0,C20H40O,534776,59,82.11,0.06128390910333509,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,5366244.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a86f10>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a96030>,23,True,True,False
2-Pentadecanone,19.0469,653.0,C15H30O,564954,97,58.09,0.06474222774314026,CCCCCCCCCCCCCC(=O)C,61303.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a87140>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a96260>,0,False,False,False
n-Hexadecanoic acid,19.5785,936.0,C16H32O2,66143224,3776,73.07,7.579837777719142,CCCCCCCCCCCCCCCC(=O)O,985.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a87680>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a967a0>,0,True,False,False
Nonanamide,19.6744,790.0,C9H19NO,2045348,200,59.08,0.2343914478523498,CCCCCCCCC(=O)N,70709.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a87760>,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a96880>,0,False,False,True
"Dodecane, 1-iodo-",20.1309,721.0,C12H25I,2760601,57,57.11,0.3163575417643573,CCCCCCCCCCCCI,20282.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a87990>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a96ab0>,5,False,False,False
"4,4'-(1,2-diethylethylene)diphenol",20.2055,671.0,C18H22O2,252441,35,135.15,0.028929068054578014,CCC(C1=CC=C(C=C1)O)C(CC)C2=CC=C(C=C2)O,192197.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a87a00>,True,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a96b20>,152,True,False,False
Nonanoic acid,20.3844,676.0,C9H18O2,1049038,87,73.07,0.12021696829690269,CCCCCCCCC(=O)O,8158.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a87ae0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a96c00>,0,True,False,False
1-Undecanol,20.5229,744.0,C11H24O,508827,12,69.11,0.05831022263026517,CCCCCCCCCCCO,8184.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a87c30>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a96d50>,5,True,False,False
"Octa-3,5-diene-2,7-dione, 4,5-dihydroxy-",20.6609,713.0,C8H10O4,581703,35,85.06,0.0666616186536743,CC(=O)C=C(C(=CC(=O)C)O)O,5367917.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a87df0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a96f10>,154,True,False,False
Phytol,20.7475,919.0,C20H40O,3881671,236,71.09,0.44482918592654086,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,5280435.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a87e60>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a96f80>,23,True,True,False
Dimethoxymethyl-hydroxy-triphenyl phosphide,20.9241,802.0,C21H23O3P,267097,49,277.15,0.03060860672463516,COC(OC)P(C1=CC=CC=C1)(C2=CC=CC=C2)(C3=CC=CC=C3)O,624086.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a87f40>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a97060>,155,True,False,False
"9,12-Octadecadienoic acid (Z,Z)-",21.0849,808.0,C18H32O2,36665182,665,67.1,4.20173246545327,CCCCCC=CCC=CCCCCCCCC(=O)O,5280450.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a880b0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a97140>,0,True,False,False
trans-13-Octadecenoic acid,21.1248,906.0,C18H34O2,140016507,1056,55.1,16.045519783899202,CCCCC=CCCCCCCCCCCCC(=O)O,6161490.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a88120>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a971b0>,0,True,False,False
Oleic Acid,21.3161,825.0,C18H34O2,8192456,458,55.1,0.9388336964206924,CCCCCCCCC=CCCCCCCCC(=O)O,445639.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a883c0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a97450>,0,True,False,False
Nonanamide,21.3484,605.0,C9H19NO,3588087,274,59.08,0.4111852393578962,CCCCCCCCC(=O)N,70709.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a88430>,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a974c0>,0,False,False,True
Nonanamide,21.5149,804.0,C9H19NO,9251887,814,59.08,1.0602416749112293,CCCCCCCCC(=O)N,70709.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a88510>,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a975a0>,0,False,False,True
Citronellol epoxide (R or S),22.3252,668.0,C10H20O2,882327,89,59.08,0.10111233052234644,CC(CCC1C(O1)(C)C)CCO,98467.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a88890>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a97920>,162,True,False,False
"Decane, 1-iodo-",22.467,771.0,C10H21I,5260521,65,57.11,0.6028417333616045,CCCCCCCCCCI,16314.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a88900>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a97990>,5,False,False,False
"3,4-Hexanedione, 2,2,5,5-tetramethyl-, monooxime",22.7074,695.0,C10H19NO2,3397700,67,57.11,0.3893673948726226,CC(C)(C)C(=NO)C(=O)C(C)(C)C,9601652.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a889e0>,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a97a70>,164,True,False,False
"Nonane, 1-iodo-",23.4288,751.0,C9H19I,8526566,23,57.12,0.9771218149423077,CCCCCCCCCI,20275.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a88cf0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a97d80>,5,False,False,False
"9-Octadecenamide, (Z)-",23.796,906.0,C18H35NO,40821810,1360,59.08,4.678070993226351,CCCCCCCCC=CCCCCCCCC(=O)N,5283387.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a88dd0>,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a97e60>,0,False,False,True
"13-Docosenamide, (Z)-",23.8815,651.0,C22H43NO,5768849,115,59.08,0.6610947719173365,CCCCCCCCC=CCCCCCCCCCCCC(=O)N,5365371.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a88e40>,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a97ed0>,0,False,False,True
