"Spectrum","Time","TIC"
296,449.59809888,2380817.369233878
297,449.69809248,2375962.10377481
298,449.79808608,2371392.680343515
299,449.89807968,2367028.809993062
300,449.99807328,2362866.773002595
301,450.09806688,2359017.799396495
302,450.19806048,2355362.568482943
303,450.29805408,2351750.860919921
304,450.39804768,2347968.291830825
305,450.49804128,2343753.422632323
306,450.59803488,2338812.350804855
307,450.69802848,2333011.767451689
308,450.79802208,2326564.421086558
309,450.89801568,2319844.972802265
310,450.99800928,2313146.114068608
311,451.09800288,2306591.907851079
312,451.19799648,2300138.692319982
313,451.29799008,2293759.179449903
314,451.39798368,2287416.735126847
315,451.49797728,2281188.413108019
316,451.59797088,2275302.818693346
317,451.69796448,2270048.832973828
318,451.79795808,2265591.620528558
319,451.89795168,2261864.006348465
320,451.99794528,2258682.360688746
321,452.09793888,2255857.981169708
322,452.19793248,2253341.94348867
323,452.29792608,2251234.491626358
324,452.39791968,2249781.778760455
325,452.49791328,2249248.447909905
326,452.59790688,2249791.514193852
327,452.69790048,2251465.496319538
328,452.79789408,2254334.70178715
329,452.89788768,2258533.704000824
330,452.99788128,2264256.240009917
331,453.09787488,2271729.303816733
332,453.19786848,2281252.987022433
333,453.29786208,2293072.329753406
334,453.39785568,2307330.83277952
335,453.49784928,2324025.086701375
336,453.59784288,2343100.703715892
337,453.69783648,2364499.937478751
338,453.79783008,2388103.939087153
339,453.89782368,2413643.775867125
340,453.99781728,2440745.887077976
341,454.09781088,2468965.239985042
342,454.19780448,2497840.401970638
343,454.29779808,2526849.846744317
344,454.39779168,2555459.092838467
345,454.49778528,2583112.217748529
346,454.59777888,2609249.314524912
347,454.69777248,2633348.990372464
348,454.79776608,2655044.206732033
349,454.89775968,2674163.719433068
350,454.99775328,2690694.999909127
351,455.09774688,2704624.62956557
352,455.19774048,2715941.852597607
353,455.29773408,2724673.917381092
354,455.39772768,2730916.469316563
355,455.49772128,2734742.746513569
356,455.59771488,2736198.990026222
357,455.69770848,2735432.811514711
358,455.79770208,2732725.106616076
359,455.89769568,2728357.174934768
360,455.99768928,2722564.102944089
361,456.09768288,2715457.545670558
362,456.19767648,2707088.929996396
363,456.29767008,2697518.761644787
364,456.39766368,2686831.563809462
365,456.49765728,2675108.736649429
366,456.59765088,2662550.399493163
367,456.69764448,2649482.65111178
368,456.79763808,2636199.429907797
369,456.89763168,2622774.739706818
370,456.99762528,2609114.007450084
371,457.09761888,2595019.369899537
372,457.19761248,2580459.83436718
373,457.29760608,2565658.024574063
374,457.39759968,2550893.906040296
375,457.49759328,2536350.232836086
376,457.59758688,2522137.916130583
377,457.69758048,2508266.39709202
378,457.79757408,2494754.083058627
379,457.89756768,2481667.339109092
380,457.99756128,2469186.67358511
381,458.09755488,2457544.370655602
382,458.19754848,2446955.28282003
383,458.29754208,2437500.25018096
384,458.39753568,2429117.048345314
